615.736083984,330.434143066
596.132324219,330.56854248
584.184265137,329.651702881
572.264587402,327.969573975
566.421691895,326.900299072
560.694274902,325.571044922
554.81427002,324.012054443
549.014404297,322.275482178
543.206848145,320.348297119
537.783081055,318.469055176
532.476135254,316.330444336
526.576416016,313.706817627
520.216308594,310.720031738
505.356231689,302.223937988
484.265075684,289.298187256
467.522247314,276.723754883
437.470581055,250.702896118
424.494140625,237.35357666
412.714324951,224.35609436
402.393981934,211.701019287
393.865020752,199.524230957
366.419342041,150.826721191
350.935821533,111.804542542
338.631072998,57.3794784546
336.140136719,31.2626552582
335.849304199,24.1883335114
335.670471191,18.6488418579
335.709625244,-5.41656780243
336.165039062,-11.2618303299
336.97857666,-23.6266727448
337.604736328,-29.5485229492
338.060150146,-35.393787384
339.359619141,-47.3611793518
339.973907471,-53.9956474304
346.397094727,-114.094177246
346.373779297,-114.094096069
349.220855713,-131.791168213
351.7215271,-150.095687866
352.028656006,-160.860626221
353.513458252,-177.435531616
355.308502197,-197.032363892
357.034362793,-216.885147095
360.038970947,-242.470993042
362.758300781,-266.18762207
365.566558838,-292.486816406
367.795562744,-312.644439697
369.535614014,-330.113433838
