618.255310059,334.229095459
607.52355957,334.622344971
597.940979004,334.436187744
589.640380859,334.021118164
579.299316406,332.928985596
566.022949219,330.65423584
558.056762695,328.800415039
544.418884277,324.760650635
528.964660645,319.071014404
513.033813477,312.073425293
500.03515625,305.403411865
475.079528809,290.454345703
462.161193848,281.650848389
443.326507568,266.48916626
425.92980957,250.318634033
405.930419922,228.186416626
385.814483643,201.561752319
365.486419678,167.444503784
354.690124512,144.463897705
338.228363037,96.3196563721
330.607055664,57.5887718201
327.433044434,16.1504516602
329.253173828,-26.6997756958
332.490875244,-60.3827629089
338.960571289,-121.15914917
